,Description,age
112,Activités des syndicats de salariés,37.916030534351144
113,Activités des voyagistes,9.618361836183619
114,Activités foraines,20.12797374897457
115,Activités graphiques auxilliaires,19.22361262241567
116,Activités hospitalières,42.46261682242991
117,Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre,8.561387283236995
118,Activités indifférenciées des ménages en tant que producteurs de services pour usage propre,11.5
119,Activités liées aux systèmes de sécurité,8.258097165991902
120,Activités mal définies,21.533333333333335
121,"Activités paramédicales, à l'exclusion des kinésithérapeutes",20.803579223046704
122,Activités relatives à l'émission de coupons de réduction et de timbres-prime,27.083333333333332
123,"Activités relatives à la santé mentale, sauf hôpitaux et maisons de soins psychiatriques",8.100754147812971
124,Activités vétérinaires,17.204379562043794
125,Administration centrale,46.642857142857146
126,"Administration communale, à l'exclusion des C.P.A.S.",57.770833333333336
127,Administration communautaire et régionale,33.416666666666664
128,Administration d'autres biens immobiliers,25.888808664259926
129,Administration d'immeubles résidentiels,37.782087165133944
130,Administration de biens immobiliers non résidentiels pour compte de tiers,8.87530695770805
131,Administration de biens immobiliers résidentiels pour compte de tiers,17.763663023193814
132,Administration de marchés financiers,15.794594594594594
133,Administration provinciale,43.2
134,"Administration publique (tutelle) de la santé, de la formation, de la culture et des autres services sociaux, à l'exclusion de la sécurité sociale",18.97222222222222
135,Administration publique (tutelle) des activités économiques,30.329842931937172
136,"Administration publique communale, sauf Centres Publics d'Action Sociale (C.P.A.S.)",55.81030150753769
137,Administration publique communautaire et régionale,15.727272727272727
138,Administration publique fédérale,32.97727272727273
139,Administration publique provinciale,35.17142857142857
140,Affacturage,37.2
141,Affaires étrangères,23.17241379310345
142,Affrètement,29.789473684210527
143,Agences d'expédition,34.015686274509804
144,Agences d'intérimaires et fourniture de personnel temporaire,26.60796645702306
145,"Agences de mannequins, hôtesses et similaires",20.910714285714285
146,Agences de presse,21.76066597294485
147,Agences de publicité,24.909513480012397
148,Agences de voyage,29.840425531914892
149,Agences en douane,38.442622950819676
150,"Agences immobilières et intermédiaires en achat, vente et location de biens immobiliers",27.017764955967202
151,Agences maritimes,31.79640718562874
152,"Agences matrimoniales, agences de rencontres, services d'escorte, activités d'hôtesses  et autres activités similaires liées à la vie sociale",21.535211267605632
153,Agents et courtiers d'assurances,30.751160092807424
154,Alphabétisation des adultes,24.626666666666665
155,Ambulances,26.525
156,Apprêt et tannage des cuirs,33.964285714285715
157,Apprêt et tannage des cuirs; préparation et teinture des fourrures,13.608695652173912
158,Aquaculture,28.881818181818183
159,Aquaculture en eau douce,17.84888888888889
160,Aquaculture en mer,9.360655737704919
161,Artistes indépendants,23.095671421544516
162,Associations de jeunesse,25.967078189300413
163,Associations et mouvements pour adultes,25.52723311546841
164,Associations pour l'environnement et la mobilité,14.32887189292543
165,Associations pour la coopération au développement,18.394029850746268
166,Associations pour la prévention de la santé,15.336426914153133
167,Ateliers protégés,44.9070796460177
168,Attractions foraines,28.686781609195403
169,Auberges de jeunesse et refuges,42.0
170,Auberges pour jeunes,26.905109489051096
171,Auto-écoles,27.92411924119241
172,Autre action sociale sans hébergement pour jeunes enfants,8.266375545851528
173,Autre action sociale sans hébergement pour personnes âgées et pour personnes avec un handicap moteur,10.3875
174,Autre administration publique générale,32.1578947368421
175,Autre assistance juridique,23.95137420718816
176,Autre commerce de détail de biens neufs en magasin spécialisé n.c.a.,15.143516953925875
177,Autre distribution de crédit,45.23770491803279
178,Autre distribution de crédit n.c.a.,11.995934959349594
179,Autre entreposage,27.45683930942895
180,Autre imprimerie,29.409116488463702
181,Autre imprimerie (labeur),17.112807463952503
182,Autre intermédiation financière n.d.a.,25.532374100719423
183,Autre manutention,29.027837259100643
184,Autre mise à disposition de ressources humaines,6.465083798882682
185,Autre reproduction de plantes,11.102380952380953
186,Autre traitement et élimination des déchets non dangereux,17.633426966292134
187,Autres activités annexes de l'organisation du transport de fret,23.44227353463588
188,Autres activités auxiliaires d'assurance et de caisses de retraite,13.63953488372093
189,"Autres activités auxiliaires de services financiers n.c.a., hors assurance et caisses de retraite",11.584415584415584
190,Autres activités d'action sociale avec hébergement n.d.a.,38.383720930232556
191,Autres activités d'action sociale sans hébergement n.d.a.,33.99726402188782
192,Autres activités d'administration n.d.a.,23.52807486631016
193,Autres activités d'ordre public et de sécurité civile,16.04225352112676
194,Autres activités d'édition,15.133201450708869
195,Autres activités de construction spécialisées,10.764390548558342
196,Autres activités de contrôle et analyses techniques,9.811002292144197
197,Autres activités de courrier,21.661803713527853
198,Autres activités de nettoyage,6.793550531914893
199,Autres activités de nettoyage des bâtiments; nettoyage industriel,9.507500156907048
200,Autres activités de poste et de courrier,7.589869281045751
201,Autres activités de première transformation; fabrication de ferro-alliages non CECA,30.0
202,Autres activités de réalisation de logiciels,22.658217362491715
203,Autres activités de soins infirmiers résidentiels,8.027777777777779
204,Autres activités de soins résidentiels n.c.a.,16.493243243243242
205,"Autres activités de soins résidentiels pour personnes avec un handicap mental, un problème psychiatrique ou toxicodépendantes",15.793650793650794
206,Autres activités de soins résidentiels pour personnes âgées ou avec un handicap moteur,9.5
207,Autres activités de soutien au spectacle vivant,6.78375
208,Autres activités de soutien aux entreprises n.c.a.,6.838682716896401
209,Autres activités de spectacle et d'amusement n.d.a.,21.66792690611216
210,Autres activités de télécommunication,7.99055967633176
211,"Autres activités de télécommunication, y compris télédistribution",16.410714285714285
212,Autres activités des services financiers,11.221058145625982
213,Autres activités extractives n.c.a.,21.166666666666668
214,Autres activités extractives n.d.a.,41.75
215,Autres activités hospitalières,12.717391304347826
216,Autres activités informatiques,8.645474194738785
217,Autres activités juridiques,9.665783770768119
218,Autres activités manufacturières n.c.a.,12.78501400560224
219,Autres activités manufacturières n.d.a.,29.758130081300813
220,Autres activités photographiques,6.708611539120014
221,Autres activités pour la santé humaine n.c.a.,9.161006009347874
222,Autres activités rattachées à l'informatique,18.793562117584464
223,Autres activités relatives aux soins de santé n.d.a.,23.05738880918221
224,Autres activités relatives à la justice,21.720588235294116
225,Autres activités récréatives,22.147967479674797
226,Autres activités récréatives et de loisirs n.c.a.,8.59094574357793
227,Autres activités sportives,21.341525423728815
228,Autres activités sportives n.c.a.,7.826241449764591
229,Autres activités spécialisées de design,5.909894969596462
230,"Autres activités spécialisées, scientifiques et techniques",6.1256865230249264
231,Autres associations n.c.a.,19.434973362582262
232,Autres auxiliaires d'assurances,28.375
233,Autres auxiliaires financiers,26.93811881188119
234,Autres commerces de détail alimentaires en magasin spécialisé n.c.a.,10.061245321537939
